Time,S(t),I_h(t),R_h(t),S_v(t),I_v(t)
12.25225225,2.3411376,172.08202,148.45271,65.7239,85.42807
12.28228228,2.3410985,172.08363,148.86214,65.72333,85.42948
12.31231231,2.3410602,172.08522,149.27156,65.72276,85.43086
12.34234234,2.3410225,172.08678,149.68098,65.722206,85.43222
12.37237237,2.3409855,172.0883,150.0904,65.721664,85.43355
12.4024024,2.3409493,172.0898,150.4998,65.72113,85.43485
12.43243243,2.3409135,172.09128,150.9092,65.720604,85.436134
12.46246246,2.3408785,172.09273,151.31859,65.720085,85.43739
12.49249249,2.3408442,172.09415,151.72798,65.71958,85.43862
12.52252252,2.3408108,172.09555,152.13736,65.719086,85.43983
12.55255255,2.3407779,172.09692,152.54674,65.7186,85.44101
12.58258258,2.3407454,172.09827,152.9561,65.71812,85.44218
12.61261261,2.3407135,172.0996,153.36546,65.71764,85.44332
12.64264264,2.3406825,172.10089,153.77481,65.71718,85.44444
12.67267267,2.340652,172.10217,154.18416,65.71673,85.44554
12.7027027,2.340622,172.10342,154.5935,65.716286,85.44662
12.73273273,2.3405924,172.10466,155.00284,65.71585,85.44768
12.76276276,2.3405635,172.10587,155.41217,65.71542,85.448715
12.79279279,2.3405354,172.10706,155.82149,65.715004,85.44973
12.82282282,2.3405077,172.10823,156.2308,65.714584,85.45073
12.85285285,2.3404803,172.10938,156.6401,65.71417,85.451706
12.88288288,2.3404536,172.1105,157.04941,65.71377,85.45267
12.91291291,2.3404274,172.11162,157.4587,65.71337,85.45361
12.94294294,2.3404016,172.1127,157.86798,65.71298,85.45454
12.97297297,2.3403766,172.11377,158.27725,65.7126,85.455444
13.003003,2.3403518,172.11482,158.68652,65.71223,85.45634
13.03303303,2.3403275,172.11586,159.09578,65.71186,85.457214
